Surname       GivenName    Username    Password    Division   Department               Title
=========================================================================================================================
Alvarez       Casey        calvarez    greenday    INIGAME    Game Development         Lead Game Developer
Brennick      Harold       hbrennick   rolodex     INIGAME    Administration           Partnerships & Sales Manager
Keezer        Steven       skeezer     postit99    INIGAME    Systems & Development    Director of Systems & Development
Lumbergh      Chip         clumberg    porsche911  INIGAME    Administration           CTO
Patel         Brian        bpatel      bitbang     INIGAME    Game Development         Junior Developer Intern
Rourke        Jack         jrourke     labels42    INIGAME    System & Security Eng.   Lead System & Security Engineer
Torres        Melissa      mtorres     bytepunk    INIGAME    Game Development         Junior Developer Intern
-------------------------------------------------------------------------------------------------------------------------
Allen         Charissa     callen      xxxxxxxx    INITECH    Accounts Payable         Accounts Payable Clerk
Armstrong     Peg          parmstro    xxxxxxxx    INITECH    Executive Assistant      Executive Assistant
Bennett       Julia        jbennet     xxxxxxxx    INITECH    Communications           Communications Specialist
Bolton        Michael      mbolton     printer7    INITECH    Development Engineering  Software Engineer
Brooks        Diana        dbrooks     xxxxxxxx    INITECH    Reception / Front Desk   Receptionist
Clarke        Vanessa      vclarke     xxxxxxxx    INITECH    Helpdesk                 Helpdesk Technician
Crain         David        dcrain      xxxxxxxx    INITECH    Legal / Compliance       Compliance Officer
Daniels       Erica        edaniels    xxxxxxxx    INITECH    Document Control         Document Control Clerk
Denning       Natalie      ndenning    xxxxxxxx    INITECH    Payroll                  Payroll Specialist
Gibbons       Peter        pgibbons    coffee99    INITECH    Development Engineering  Software Engineer
Greene        Allison      agreene     xxxxxxxx    INITECH    Finance / Budgeting      Budget Analyst
Halpern       Drew         dhalpern    xxxxxxxx    INITECH    QA / Testing             QA Analyst
Jennings      Laura        ljennin     xxxxxxxx    INITECH    Admin Support            Administrative Assistant
Klein         Sandra       sklein      xxxxxxxx    INITECH    HR / Recruiting          Recruiter
Lawson        Heather      hlawson     xxxxxxxx    INITECH    Office Supplies          Office Coordinator
Mercer        Collins      cmercer     xxxxxxxx    INITECH    Human Resources          HR Manager
Mitchell      Kara         kmitchel    xxxxxxxx    INITECH    Executive Scheduling     Executive Scheduler
Nagheenanajar Samir        snagheen    xxxxxxxx    INITECH    Development Engineering  Software Engineer
Porter        Bob          bporter     xxxxxxxx    INITECH    Administration           Consultant
Porterfield   Rachel       rporterf    xxxxxxxx    INITECH    Records / Filing         Records Clerk
Portwood      Dom          dportwoo    xxxxxxxx    INITECH    Upper Management         Senior VP
Randall       Ethan        erandal     xxxxxxxx    INITECH    Facilities / Operations  Facilities Coordinator
Rogers        Nina         nrogers     files123    INITECH    Accounting               Senior Accountant
Sanderson     Trevor       tsanders    xxxxxxxx    INITECH    Sales & Marketing        Marketing Associate
Slydell       Bob          bslydell    downsizr    INITECH    Administration           Consultant
Smykowski     Tom          tsmykows    jump2car    INITECH    Customer Support         Customer Service Manager
Vaughn        Melissa      mvaughn     xxxxxxxx    INITECH    Security / Badging       Security Coordinator
Waddams       Milton       mwaddams    xxxxxxxx    INITECH    Customer Support         Customer Support Rep
Whitaker      Marcus       mwhitake    xxxxxxxx    INITECH    IT / Infrastructure      Systems Administrator
-------------------------------------------------------------------------------------------------------------------------
Lumbergh      Bill         blumberg    tpsreport   INITRODE   Administration           Division VP

